神器ID,技能等级,技能,技能名字,技能图标,神器编号,技能描述
1,0,10002,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成300点真实伤害并流血，持续造成133点流血伤害，持续3回合
1,1,10102,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成1916点真实伤害并流血，持续造成1072点流血伤害，持续3回合
1,2,10202,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成3031点真实伤害并流血，持续造成1842点流血伤害，持续3回合
1,3,10302,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成4146点真实伤害并流血，持续造成2612点流血伤害，持续3回合
1,4,10402,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成5261点真实伤害并流血，持续造成3382点流血伤害，持续3回合
1,5,10502,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成6376点真实伤害并流血，持续造成4152点流血伤害，持续3回合
1,6,10602,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成7491点真实伤害并流血，持续造成4922点流血伤害，持续3回合
1,7,10702,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成11611点真实伤害并流血，持续造成7842点流血伤害，持续3回合
1,8,10802,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成15731点真实伤害并流血，持续造成10762点流血伤害，持续3回合
1,9,10902,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成19851点真实伤害并流血，持续造成13682点流血伤害，持续3回合
1,10,11002,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成23971点真实伤害并流血，持续造成16602点流血伤害，持续3回合
1,11,11102,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成28091点真实伤害并流血，持续造成19522点流血伤害，持续3回合
1,12,11202,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成32211点真实伤害并流血，持续造成22442点流血伤害，持续3回合
1,13,11302,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成50981点真实伤害并流血，持续造成35862点流血伤害，持续3回合，增加己方随机4名英雄对流血目标10%伤害加成2回合
1,14,11402,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成69751点真实伤害并流血，持续造成49282点流血伤害，持续3回合，增加己方随机4名英雄对流血目标15%伤害加成2回合
1,15,11502,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成88521点真实伤害并流血，持续造成62702点流血伤害，持续3回合，增加己方随机4名英雄对流血目标20%伤害加成2回合
1,16,11602,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成107291点真实伤害并流血，持续造成76122点流血伤害，持续3回合，增加己方随机4名英雄对流血目标25%伤害加成2回合
1,17,11702,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成126061点真实伤害并流血，持续造成89542点流血伤害，持续3回合，增加己方随机4名英雄对流血目标30%伤害加成2回合
1,18,11802,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成144831点真实伤害并流血，持续造成102962点流血伤害，持续3回合，增加己方随机4名英雄对流血目标35%伤害加成2回合
1,19,11902,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成164951点真实伤害并流血，持续造成126882点流血伤害，持续3回合，增加己方随机4名英雄对流血目标40%伤害加成2回合
1,20,12002,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成185071点真实伤害并流血，持续造成150802点流血伤害，持续3回合，增加己方随机4名英雄对流血目标45%伤害加成2回合
1,21,12102,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成205191点真实伤害并流血，持续造成174722点流血伤害，持续3回合，增加己方随机4名英雄对流血目标50%伤害加成2回合
1,22,12202,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成225311点真实伤害并流血，持续造成198642点流血伤害，持续3回合，增加己方随机4名英雄对流血目标55%伤害加成2回合
1,23,12302,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成245431点真实伤害并流血，持续造成222562点流血伤害，持续3回合，增加己方随机4名英雄对流血目标60%伤害加成2回合
1,24,12402,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成265600点真实伤害并流血，持续造成246500点流血伤害，持续3回合，增加己方随机4名英雄对流血目标65%伤害加成2回合
2,0,20002,重伤,shenbing_02,2,以上古圣贤的名义，对前排敌人造成850点真实伤害
2,1,20102,重伤,shenbing_02,2,以上古圣贤的名义，对前排敌人造成3288点真实伤害
2,2,20202,重伤,shenbing_02,2,以上古圣贤的名义，对前排敌人造成5493点真实伤害
2,3,20302,重伤,shenbing_02,2,以上古圣贤的名义，对前排敌人造成7698点真实伤害
2,4,20402,重伤,shenbing_02,2,以上古圣贤的名义，对前排敌人造成9903点真实伤害
2,5,20502,重伤,shenbing_02,2,以上古圣贤的名义，对前排敌人造成12108点真实伤害
2,6,20602,重伤,shenbing_02,2,以上古圣贤的名义，对前排敌人造成14313点真实伤害
2,7,20702,重伤,shenbing_02,2,以上古圣贤的名义，对随机3名敌人造成20918点真实伤害，同时降低其2%防御，持续3回合
2,8,20802,重伤,shenbing_02,2,以上古圣贤的名义，对随机3名敌人造成27523点真实伤害，同时降低其4%防御，持续3回合
2,9,20902,重伤,shenbing_02,2,以上古圣贤的名义，对随机3名敌人造成34128点真实伤害，同时降低其5%防御，持续3回合
2,10,21002,重伤,shenbing_02,2,以上古圣贤的名义，对随机3名敌人造成40733点真实伤害，同时降低其7%防御，持续3回合
2,11,21102,重伤,shenbing_02,2,以上古圣贤的名义，对随机3名敌人造成47338点真实伤害，同时降低其9%防御，持续3回合
2,12,21202,重伤,shenbing_02,2,以上古圣贤的名义，对随机3名敌人造成53943点真实伤害，同时降低其10%防御，持续3回合
2,13,21302,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成67848点真实伤害，同时降低其12%防御，持续3回合，并且增加己方4名英雄7%的攻击2回合
2,14,21402,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成81753点真实伤害，同时降低其14%防御，持续3回合，并且增加己方4名英雄9%的攻击2回合
2,15,21502,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成95658点真实伤害，同时降低其15%防御，持续3回合，并且增加己方4名英雄10%的攻击2回合
2,16,21602,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成109563点真实伤害，同时降低其17%防御，持续3回合，并且增加己方4名英雄12%的攻击2回合
2,17,21702,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成123468点真实伤害，同时降低其19%防御，持续3回合，并且增加己方4名英雄14%的攻击2回合
2,18,21802,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成137373点真实伤害，同时降低其20%防御，持续3回合，并且增加己方4名英雄15%的攻击2回合
2,19,21902,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成161278点真实伤害，同时降低其22%防御和10速度，持续3回合，并且增加己方4名英雄17%的攻击2回合
2,20,22002,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成185183点真实伤害，同时降低其24%防御和14速度，持续3回合，并且增加己方4名英雄19%的攻击2回合
2,21,22102,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成209088点真实伤害，同时降低其25%防御和18速度，持续3回合，并且增加己方4名英雄20%的攻击2回合
2,22,22202,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成232993点真实伤害，同时降低其27%防御和22速度，持续3回合，并且增加己方4名英雄22%的攻击2回合
2,23,22302,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成256898点真实伤害，同时降低其29%防御和26速度，持续3回合，并且增加己方4名英雄24%的攻击2回合
2,24,22402,重伤,shenbing_02,2,以上古圣贤的名义，对随机4名敌人造成280800点真实伤害，同时降低其30%防御和31速度，持续3回合，并且增加己方4名英雄25%的攻击2回合
3,0,30002,滋养,shenbing_03,3,唤醒神的恩泽，对随机1名敌人造成1500点真实伤害，同时恢复随机3名己方英雄5%生命
3,1,30102,滋养,shenbing_03,3,唤醒神的恩泽，对随机1名敌人造成2949点真实伤害，同时恢复随机3名己方英雄5%生命
3,2,30202,滋养,shenbing_03,3,唤醒神的恩泽，对随机1名敌人造成4354点真实伤害，同时恢复随机3名己方英雄5%生命
3,3,30302,滋养,shenbing_03,3,唤醒神的恩泽，对随机1名敌人造成5759点真实伤害，同时恢复随机3名己方英雄6%生命
3,4,30402,滋养,shenbing_03,3,唤醒神的恩泽，对随机1名敌人造成7164点真实伤害，同时恢复随机3名己方英雄6%生命
3,5,30502,滋养,shenbing_03,3,唤醒神的恩泽，对随机1名敌人造成8569点真实伤害，同时恢复随机3名己方英雄7%生命
3,6,30602,滋养,shenbing_03,3,唤醒神的恩泽，对随机1名敌人造成9974点真实伤害，同时恢复随机3名己方英雄7%生命
3,7,30702,滋养,shenbing_03,3,唤醒神的恩泽，对随机2名敌人造成14644点真实伤害，同时恢复随机3名己方英雄8%生命，增加2%的防御2回合
3,8,30802,滋养,shenbing_03,3,唤醒神的恩泽，对随机2名敌人造成19314点真实伤害，同时恢复随机3名己方英雄8%生命，增加4%的防御2回合
3,9,30902,滋养,shenbing_03,3,唤醒神的恩泽，对随机2名敌人造成23984点真实伤害，同时恢复随机3名己方英雄9%生命，增加5%的防御2回合
3,10,31002,滋养,shenbing_03,3,唤醒神的恩泽，对随机2名敌人造成28654点真实伤害，同时恢复随机3名己方英雄9%生命，增加7%的防御2回合
3,11,31102,滋养,shenbing_03,3,唤醒神的恩泽，对随机2名敌人造成33324点真实伤害，同时恢复随机3名己方英雄10%生命，增加9%的防御2回合
3,12,31202,滋养,shenbing_03,3,唤醒神的恩泽，对随机2名敌人造成37994点真实伤害，同时恢复随机3名己方英雄10%生命，增加10%的防御2回合
3,13,31302,滋养,shenbing_03,3,唤醒神的恩泽，对随机3名敌人造成47664点真实伤害，同时恢复随机4名己方英雄11%生命，增加12%的防御2回合
3,14,31402,滋养,shenbing_03,3,唤醒神的恩泽，对随机3名敌人造成57334点真实伤害，同时恢复随机4名己方英雄11%生命，增加14%的防御2回合
3,15,31502,滋养,shenbing_03,3,唤醒神的恩泽，对随机3名敌人造成67004点真实伤害，同时恢复随机4名己方英雄12%生命，增加15%的防御2回合
3,16,31602,滋养,shenbing_03,3,唤醒神的恩泽，对随机3名敌人造成76674点真实伤害，同时恢复随机4名己方英雄12%生命，增加17%的防御2回合
3,17,31702,滋养,shenbing_03,3,唤醒神的恩泽，对随机3名敌人造成86344点真实伤害，同时恢复随机4名己方英雄13%生命，增加19%的防御2回合
3,18,31802,滋养,shenbing_03,3,唤醒神的恩泽，对随机3名敌人造成96014点真实伤害，同时恢复随机4名己方英雄14%生命，增加20%的防御2回合
3,19,31902,滋养,shenbing_03,3,唤醒神的恩泽，对随机4名敌人造成109684点真实伤害，同时恢复随机4名己方英雄15%生命，增加22%的防御和7%的攻击2回合
3,20,32002,滋养,shenbing_03,3,唤醒神的恩泽，对随机4名敌人造成123354点真实伤害，同时恢复随机4名己方英雄16%生命，增加24%的防御和9%的攻击2回合
3,21,32102,滋养,shenbing_03,3,唤醒神的恩泽，对随机4名敌人造成137024点真实伤害，同时恢复随机4名己方英雄17%生命，增加25%的防御和10%的攻击2回合
3,22,32202,滋养,shenbing_03,3,唤醒神的恩泽，对随机4名敌人造成150694点真实伤害，同时恢复随机4名己方英雄18%生命，增加27%的防御和12%的攻击2回合
3,23,32302,滋养,shenbing_03,3,唤醒神的恩泽，对随机4名敌人造成164364点真实伤害，同时恢复随机4名己方英雄19%生命，增加29%的防御和14%的攻击2回合
3,24,32402,滋养,shenbing_03,3,唤醒神的恩泽，对随机4名敌人造成178000点真实伤害，同时恢复随机4名己方英雄20%生命，增加30.5%的防御和15%的攻击2回合
4,0,40002,怒吼,shenbing_04,4,真王之力永垂不朽，对随机2名敌人造成2200点真实伤害，恢复己方随机2名英雄11点怒气
4,1,40102,怒吼,shenbing_04,4,真王之力永垂不朽，对随机2名敌人造成4429点真实伤害，恢复己方随机2名英雄12点怒气
4,2,40202,怒吼,shenbing_04,4,真王之力永垂不朽，对随机2名敌人造成6684点真实伤害，恢复己方随机2名英雄14点怒气
4,3,40302,怒吼,shenbing_04,4,真王之力永垂不朽，对随机2名敌人造成8939点真实伤害，恢复己方随机2名英雄15点怒气
4,4,40402,怒吼,shenbing_04,4,真王之力永垂不朽，对随机2名敌人造成11194点真实伤害，恢复己方随机2名英雄17点怒气
4,5,40502,怒吼,shenbing_04,4,真王之力永垂不朽，对随机2名敌人造成13449点真实伤害，恢复己方随机2名英雄19点怒气
4,6,40602,怒吼,shenbing_04,4,真王之力永垂不朽，对随机2名敌人造成15704点真实伤害，恢复己方随机2名英雄20点怒气
4,7,40702,怒吼,shenbing_04,4,真王之力永垂不朽，对随机3名敌人造成22309点真实伤害，恢复己方随机3名英雄22点怒气
4,8,40802,怒吼,shenbing_04,4,真王之力永垂不朽，对随机3名敌人造成28914点真实伤害，恢复己方随机3名英雄24点怒气
4,9,40902,怒吼,shenbing_04,4,真王之力永垂不朽，对随机3名敌人造成35519点真实伤害，恢复己方随机3名英雄25点怒气
4,10,41002,怒吼,shenbing_04,4,真王之力永垂不朽，对随机3名敌人造成42124点真实伤害，恢复己方随机3名英雄27点怒气
4,11,41102,怒吼,shenbing_04,4,真王之力永垂不朽，对随机3名敌人造成48729点真实伤害，恢复己方随机3名英雄29点怒气
4,12,41202,怒吼,shenbing_04,4,真王之力永垂不朽，对随机3名敌人造成55334点真实伤害，恢复己方随机3名英雄30点怒气
4,13,41302,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成69439点真实伤害，恢复己方随机4名英雄32点怒气
4,14,41402,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成83544点真实伤害，恢复己方随机4名英雄34点怒气
4,15,41502,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成97649点真实伤害，恢复己方随机4名英雄35点怒气
4,16,41602,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成111754点真实伤害，恢复己方随机4名英雄37点怒气
4,17,41702,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成125859点真实伤害，恢复己方随机4名英雄39点怒气
4,18,41802,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成139964点真实伤害，恢复己方随机4名英雄40点怒气
4,19,41902,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成163569点真实伤害并且有20%的概率禁魔目标2回合，恢复己方随机4名英雄42点怒气
4,20,42002,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成187174点真实伤害并且有24%的概率禁魔目标2回合，恢复己方随机4名英雄44点怒气
4,21,42102,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成210779点真实伤害并且有28%的概率禁魔目标2回合，恢复己方随机4名英雄45点怒气
4,22,42202,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成234384点真实伤害并且有32%的概率禁魔目标2回合，恢复己方随机4名英雄47点怒气
4,23,42302,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成257989点真实伤害并且有36%的概率禁魔目标2回合，恢复己方随机4名英雄49点怒气
4,24,42402,怒吼,shenbing_04,4,真王之力永垂不朽，对随机4名敌人造成281600点真实伤害并且有41%的概率禁魔目标2回合，恢复己方随机4名英雄50点怒气
5,0,50002,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机2名敌人造成3500点真实伤害并且有6%的概率眩晕目标2回合
5,1,50102,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机2名敌人造成5033点真实伤害并且有7%的概率眩晕目标2回合
5,2,50202,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机2名敌人造成7243点真实伤害并且有9%的概率眩晕目标2回合
5,3,50302,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机2名敌人造成9453点真实伤害并且有10%的概率眩晕目标2回合
5,4,50402,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机2名敌人造成11663点真实伤害并且有12%的概率眩晕目标2回合
5,5,50502,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机2名敌人造成13873点真实伤害并且有14%的概率眩晕目标2回合
5,6,50602,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机2名敌人造成16083点真实伤害并且有15%的概率眩晕目标2回合
5,7,50702,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机3名敌人造成22753点真实伤害并且有17%的概率眩晕目标2回合
5,8,50802,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机3名敌人造成29423点真实伤害并且有19%的概率眩晕目标2回合
5,9,50902,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机3名敌人造成36093点真实伤害并且有20%的概率眩晕目标2回合
5,10,51002,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机3名敌人造成42763点真实伤害并且有22%的概率眩晕目标2回合
5,11,51102,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机3名敌人造成49433点真实伤害并且有24%的概率眩晕目标2回合
5,12,51202,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机3名敌人造成56103点真实伤害并且有25%的概率眩晕目标2回合
5,13,51302,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成75273点真实伤害并且有25%的概率眩晕目标2回合，提升4名友方英雄5%伤害加成2回合
5,14,51402,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成94443点真实伤害并且有26%的概率眩晕目标2回合，提升4名友方英雄10%伤害加成2回合
5,15,51502,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成113613点真实伤害并且有27%的概率眩晕目标2回合，提升4名友方英雄15%伤害加成2回合
5,16,51602,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成132783点真实伤害并且有28%的概率眩晕目标2回合，提升4名友方英雄20%伤害加成2回合
5,17,51702,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成151953点真实伤害并且有29%的概率眩晕目标2回合，提升4名友方英雄25%伤害加成2回合
5,18,51802,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成171123点真实伤害并且有30%的概率眩晕目标2回合，提升4名友方英雄30%伤害加成2回合
5,19,51902,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成202243点真实伤害并且有31%的概率眩晕目标2回合，提升4名友方英雄35%伤害加成2回合
5,20,52002,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成233363点真实伤害并且有32%的概率眩晕目标2回合，提升4名友方英雄40%伤害加成2回合
5,21,52102,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成264483点真实伤害并且有33%的概率眩晕目标2回合，提升4名友方英雄45%伤害加成2回合
5,22,52202,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成295603点真实伤害并且有34%的概率眩晕目标2回合，提升4名友方英雄50%伤害加成2回合
5,23,52302,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成326723点真实伤害并且有35%的概率眩晕目标2回合，提升4名友方英雄55%伤害加成2回合
5,24,52402,屠龙,shenbing_05,5,屠灭巨龙之力存于其中，对随机4名敌人造成357800点真实伤害并且有37%的概率眩晕目标2回合，提升4名友方英雄60%伤害加成2回合
