文物id,文物星级,升级消耗,文物属性,显示属性
1,0,"{""a"": ""wenwu"", ""t"": ""1"", ""n"": 1}",,
1,1,"{""a"": ""wenwu"", ""t"": ""1"", ""n"": 3}","""hp"":600","""hp"":600"
1,2,"{""a"": ""wenwu"", ""t"": ""1"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
1,3,"{""a"": ""wenwu"", ""t"": ""1"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
1,4,"{""a"": ""wenwu"", ""t"": ""1"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
1,5,,"""atk"":80,""hp"":2600","""hp"":1200"
2,0,"{""a"": ""wenwu"", ""t"": ""2"", ""n"": 1}",,
2,1,"{""a"": ""wenwu"", ""t"": ""2"", ""n"": 3}","""hp"":600","""hp"":600"
2,2,"{""a"": ""wenwu"", ""t"": ""2"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
2,3,"{""a"": ""wenwu"", ""t"": ""2"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
2,4,"{""a"": ""wenwu"", ""t"": ""2"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
2,5,,"""atk"":80,""hp"":2600","""hp"":1200"
3,0,"{""a"": ""wenwu"", ""t"": ""3"", ""n"": 1}",,
3,1,"{""a"": ""wenwu"", ""t"": ""3"", ""n"": 3}","""hp"":600","""hp"":600"
3,2,"{""a"": ""wenwu"", ""t"": ""3"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
3,3,"{""a"": ""wenwu"", ""t"": ""3"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
3,4,"{""a"": ""wenwu"", ""t"": ""3"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
3,5,,"""atk"":80,""hp"":2600","""hp"":1200"
4,0,"{""a"": ""wenwu"", ""t"": ""4"", ""n"": 1}",,
4,1,"{""a"": ""wenwu"", ""t"": ""4"", ""n"": 3}","""hp"":600","""hp"":600"
4,2,"{""a"": ""wenwu"", ""t"": ""4"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
4,3,"{""a"": ""wenwu"", ""t"": ""4"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
4,4,"{""a"": ""wenwu"", ""t"": ""4"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
4,5,,"""atk"":80,""hp"":2600","""hp"":1200"
5,0,"{""a"": ""wenwu"", ""t"": ""5"", ""n"": 1}",,
5,1,"{""a"": ""wenwu"", ""t"": ""5"", ""n"": 3}","""hp"":1200","""hp"":1200"
5,2,"{""a"": ""wenwu"", ""t"": ""5"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
5,3,"{""a"": ""wenwu"", ""t"": ""5"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
5,4,"{""a"": ""wenwu"", ""t"": ""5"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
5,5,,"""atk"":160,""hp"":5200","""hp"":2400"
6,0,"{""a"": ""wenwu"", ""t"": ""6"", ""n"": 1}",,
6,1,"{""a"": ""wenwu"", ""t"": ""6"", ""n"": 3}","""hp"":1200","""hp"":1200"
6,2,"{""a"": ""wenwu"", ""t"": ""6"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
6,3,"{""a"": ""wenwu"", ""t"": ""6"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
6,4,"{""a"": ""wenwu"", ""t"": ""6"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
6,5,,"""atk"":160,""hp"":5200","""hp"":2400"
7,0,"{""a"": ""wenwu"", ""t"": ""7"", ""n"": 1}",,
7,1,"{""a"": ""wenwu"", ""t"": ""7"", ""n"": 3}","""hp"":1800","""hp"":1800"
7,2,"{""a"": ""wenwu"", ""t"": ""7"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
7,3,"{""a"": ""wenwu"", ""t"": ""7"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
7,4,"{""a"": ""wenwu"", ""t"": ""7"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
7,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
8,0,"{""a"": ""wenwu"", ""t"": ""8"", ""n"": 1}",,
8,1,"{""a"": ""wenwu"", ""t"": ""8"", ""n"": 3}","""hp"":1800","""hp"":1800"
8,2,"{""a"": ""wenwu"", ""t"": ""8"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
8,3,"{""a"": ""wenwu"", ""t"": ""8"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
8,4,"{""a"": ""wenwu"", ""t"": ""8"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
8,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
9,0,"{""a"": ""wenwu"", ""t"": ""9"", ""n"": 1}",,
9,1,"{""a"": ""wenwu"", ""t"": ""9"", ""n"": 3}","""hp"":3000","""hp"":3000"
9,2,"{""a"": ""wenwu"", ""t"": ""9"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
9,3,"{""a"": ""wenwu"", ""t"": ""9"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
9,4,"{""a"": ""wenwu"", ""t"": ""9"", ""n"": 9}","""atk"":400,""hp"":7000,""hppro"":15","""atk"":250"
9,5,,"""atk"":400,""hp"":13000,""atkpro"":15,""hppro"":15","""hp"":6000,""atkpro"":15"
10,0,"{""a"": ""wenwu"", ""t"": ""10"", ""n"": 1}",,
10,1,"{""a"": ""wenwu"", ""t"": ""10"", ""n"": 3}","""hp"":4800","""hp"":4800"
10,2,"{""a"": ""wenwu"", ""t"": ""10"", ""n"": 5}","""atk"":240,""hp"":4800","""atk"":240"
10,3,"{""a"": ""wenwu"", ""t"": ""10"", ""n"": 7}","""atk"":240,""hp"":11200,""hppro"":20","""hp"":6400,""hppro"":20"
10,4,"{""a"": ""wenwu"", ""t"": ""10"", ""n"": 9}","""atk"":640,""hp"":11200,""hppro"":20","""atk"":400"
10,5,,"""atk"":640,""hp"":20800,""atkpro"":20,""hppro"":20","""hp"":9600,""atkpro"":20"
11,0,"{""a"": ""wenwu"", ""t"": ""11"", ""n"": 1}",,
11,1,"{""a"": ""wenwu"", ""t"": ""11"", ""n"": 3}","""hp"":600","""hp"":600"
11,2,"{""a"": ""wenwu"", ""t"": ""11"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
11,3,"{""a"": ""wenwu"", ""t"": ""11"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
11,4,"{""a"": ""wenwu"", ""t"": ""11"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
11,5,,"""atk"":80,""hp"":2600","""hp"":1200"
12,0,"{""a"": ""wenwu"", ""t"": ""12"", ""n"": 1}",,
12,1,"{""a"": ""wenwu"", ""t"": ""12"", ""n"": 3}","""hp"":600","""hp"":600"
12,2,"{""a"": ""wenwu"", ""t"": ""12"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
12,3,"{""a"": ""wenwu"", ""t"": ""12"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
12,4,"{""a"": ""wenwu"", ""t"": ""12"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
12,5,,"""atk"":80,""hp"":2600","""hp"":1200"
13,0,"{""a"": ""wenwu"", ""t"": ""13"", ""n"": 1}",,
13,1,"{""a"": ""wenwu"", ""t"": ""13"", ""n"": 3}","""hp"":600","""hp"":600"
13,2,"{""a"": ""wenwu"", ""t"": ""13"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
13,3,"{""a"": ""wenwu"", ""t"": ""13"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
13,4,"{""a"": ""wenwu"", ""t"": ""13"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
13,5,,"""atk"":80,""hp"":2600","""hp"":1200"
14,0,"{""a"": ""wenwu"", ""t"": ""14"", ""n"": 1}",,
14,1,"{""a"": ""wenwu"", ""t"": ""14"", ""n"": 3}","""hp"":600","""hp"":600"
14,2,"{""a"": ""wenwu"", ""t"": ""14"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
14,3,"{""a"": ""wenwu"", ""t"": ""14"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
14,4,"{""a"": ""wenwu"", ""t"": ""14"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
14,5,,"""atk"":80,""hp"":2600","""hp"":1200"
15,0,"{""a"": ""wenwu"", ""t"": ""15"", ""n"": 1}",,
15,1,"{""a"": ""wenwu"", ""t"": ""15"", ""n"": 3}","""hp"":1200","""hp"":1200"
15,2,"{""a"": ""wenwu"", ""t"": ""15"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
15,3,"{""a"": ""wenwu"", ""t"": ""15"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
15,4,"{""a"": ""wenwu"", ""t"": ""15"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
15,5,,"""atk"":160,""hp"":5200","""hp"":2400"
16,0,"{""a"": ""wenwu"", ""t"": ""16"", ""n"": 1}",,
16,1,"{""a"": ""wenwu"", ""t"": ""16"", ""n"": 3}","""hp"":1200","""hp"":1200"
16,2,"{""a"": ""wenwu"", ""t"": ""16"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
16,3,"{""a"": ""wenwu"", ""t"": ""16"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
16,4,"{""a"": ""wenwu"", ""t"": ""16"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
16,5,,"""atk"":160,""hp"":5200","""hp"":2400"
17,0,"{""a"": ""wenwu"", ""t"": ""17"", ""n"": 1}",,
17,1,"{""a"": ""wenwu"", ""t"": ""17"", ""n"": 3}","""hp"":1800","""hp"":1800"
17,2,"{""a"": ""wenwu"", ""t"": ""17"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
17,3,"{""a"": ""wenwu"", ""t"": ""17"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
17,4,"{""a"": ""wenwu"", ""t"": ""17"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
17,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
18,0,"{""a"": ""wenwu"", ""t"": ""18"", ""n"": 1}",,
18,1,"{""a"": ""wenwu"", ""t"": ""18"", ""n"": 3}","""hp"":1800","""hp"":1800"
18,2,"{""a"": ""wenwu"", ""t"": ""18"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
18,3,"{""a"": ""wenwu"", ""t"": ""18"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
18,4,"{""a"": ""wenwu"", ""t"": ""18"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
18,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
19,0,"{""a"": ""wenwu"", ""t"": ""19"", ""n"": 1}",,
19,1,"{""a"": ""wenwu"", ""t"": ""19"", ""n"": 3}","""hp"":3000","""hp"":3000"
19,2,"{""a"": ""wenwu"", ""t"": ""19"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
19,3,"{""a"": ""wenwu"", ""t"": ""19"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
19,4,"{""a"": ""wenwu"", ""t"": ""19"", ""n"": 9}","""atk"":400,""hp"":7000,""hppro"":15","""atk"":250"
19,5,,"""atk"":400,""hp"":13000,""atkpro"":15,""hppro"":15","""hp"":6000,""atkpro"":15"
20,0,"{""a"": ""wenwu"", ""t"": ""20"", ""n"": 1}",,
20,1,"{""a"": ""wenwu"", ""t"": ""20"", ""n"": 3}","""hp"":4800","""hp"":4800"
20,2,"{""a"": ""wenwu"", ""t"": ""20"", ""n"": 5}","""atk"":240,""hp"":4800","""atk"":240"
20,3,"{""a"": ""wenwu"", ""t"": ""20"", ""n"": 7}","""atk"":240,""hp"":11200,""hppro"":20","""hp"":6400,""hppro"":20"
20,4,"{""a"": ""wenwu"", ""t"": ""20"", ""n"": 9}","""atk"":640,""hp"":11200,""hppro"":20","""atk"":400"
20,5,,"""atk"":640,""hp"":20800,""atkpro"":20,""hppro"":20","""hp"":9600,""atkpro"":20"
21,0,"{""a"": ""wenwu"", ""t"": ""21"", ""n"": 1}",,
21,1,"{""a"": ""wenwu"", ""t"": ""21"", ""n"": 3}","""hp"":600","""hp"":600"
21,2,"{""a"": ""wenwu"", ""t"": ""21"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
21,3,"{""a"": ""wenwu"", ""t"": ""21"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
21,4,"{""a"": ""wenwu"", ""t"": ""21"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
21,5,,"""atk"":80,""hp"":2600","""hp"":1200"
22,0,"{""a"": ""wenwu"", ""t"": ""22"", ""n"": 1}",,
22,1,"{""a"": ""wenwu"", ""t"": ""22"", ""n"": 3}","""hp"":600","""hp"":600"
22,2,"{""a"": ""wenwu"", ""t"": ""22"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
22,3,"{""a"": ""wenwu"", ""t"": ""22"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
22,4,"{""a"": ""wenwu"", ""t"": ""22"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
22,5,,"""atk"":80,""hp"":2600","""hp"":1200"
23,0,"{""a"": ""wenwu"", ""t"": ""23"", ""n"": 1}",,
23,1,"{""a"": ""wenwu"", ""t"": ""23"", ""n"": 3}","""hp"":600","""hp"":600"
23,2,"{""a"": ""wenwu"", ""t"": ""23"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
23,3,"{""a"": ""wenwu"", ""t"": ""23"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
23,4,"{""a"": ""wenwu"", ""t"": ""23"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
23,5,,"""atk"":80,""hp"":2600","""hp"":1200"
24,0,"{""a"": ""wenwu"", ""t"": ""24"", ""n"": 1}",,
24,1,"{""a"": ""wenwu"", ""t"": ""24"", ""n"": 3}","""hp"":600","""hp"":600"
24,2,"{""a"": ""wenwu"", ""t"": ""24"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
24,3,"{""a"": ""wenwu"", ""t"": ""24"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
24,4,"{""a"": ""wenwu"", ""t"": ""24"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
24,5,,"""atk"":80,""hp"":2600","""hp"":1200"
25,0,"{""a"": ""wenwu"", ""t"": ""25"", ""n"": 1}",,
25,1,"{""a"": ""wenwu"", ""t"": ""25"", ""n"": 3}","""hp"":1200","""hp"":1200"
25,2,"{""a"": ""wenwu"", ""t"": ""25"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
25,3,"{""a"": ""wenwu"", ""t"": ""25"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
25,4,"{""a"": ""wenwu"", ""t"": ""25"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
25,5,,"""atk"":160,""hp"":5200","""hp"":2400"
26,0,"{""a"": ""wenwu"", ""t"": ""26"", ""n"": 1}",,
26,1,"{""a"": ""wenwu"", ""t"": ""26"", ""n"": 3}","""hp"":1200","""hp"":1200"
26,2,"{""a"": ""wenwu"", ""t"": ""26"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
26,3,"{""a"": ""wenwu"", ""t"": ""26"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
26,4,"{""a"": ""wenwu"", ""t"": ""26"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
26,5,,"""atk"":160,""hp"":5200","""hp"":2400"
27,0,"{""a"": ""wenwu"", ""t"": ""27"", ""n"": 1}",,
27,1,"{""a"": ""wenwu"", ""t"": ""27"", ""n"": 3}","""hp"":1800","""hp"":1800"
27,2,"{""a"": ""wenwu"", ""t"": ""27"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
27,3,"{""a"": ""wenwu"", ""t"": ""27"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
27,4,"{""a"": ""wenwu"", ""t"": ""27"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
27,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
28,0,"{""a"": ""wenwu"", ""t"": ""28"", ""n"": 1}",,
28,1,"{""a"": ""wenwu"", ""t"": ""28"", ""n"": 3}","""hp"":1800","""hp"":1800"
28,2,"{""a"": ""wenwu"", ""t"": ""28"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
28,3,"{""a"": ""wenwu"", ""t"": ""28"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
28,4,"{""a"": ""wenwu"", ""t"": ""28"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
28,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
29,0,"{""a"": ""wenwu"", ""t"": ""29"", ""n"": 1}",,
29,1,"{""a"": ""wenwu"", ""t"": ""29"", ""n"": 3}","""hp"":3000","""hp"":3000"
29,2,"{""a"": ""wenwu"", ""t"": ""29"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
29,3,"{""a"": ""wenwu"", ""t"": ""29"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
