文物id,文物星级,升级消耗,文物属性,显示属性
58,2,"{""a"": ""wenwu"", ""t"": ""58"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
58,3,"{""a"": ""wenwu"", ""t"": ""58"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
58,4,"{""a"": ""wenwu"", ""t"": ""58"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
58,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
59,0,"{""a"": ""wenwu"", ""t"": ""59"", ""n"": 1}",,
59,1,"{""a"": ""wenwu"", ""t"": ""59"", ""n"": 3}","""hp"":3000","""hp"":3000"
59,2,"{""a"": ""wenwu"", ""t"": ""59"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
59,3,"{""a"": ""wenwu"", ""t"": ""59"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
59,4,"{""a"": ""wenwu"", ""t"": ""59"", ""n"": 9}","""atk"":400,""hp"":7000,""hppro"":15","""atk"":250"
59,5,,"""atk"":400,""hp"":13000,""atkpro"":15,""hppro"":15","""hp"":6000,""atkpro"":15"
60,0,"{""a"": ""wenwu"", ""t"": ""60"", ""n"": 1}",,
60,1,"{""a"": ""wenwu"", ""t"": ""60"", ""n"": 3}","""hp"":4800","""hp"":4800"
60,2,"{""a"": ""wenwu"", ""t"": ""60"", ""n"": 5}","""atk"":240,""hp"":4800","""atk"":240"
60,3,"{""a"": ""wenwu"", ""t"": ""60"", ""n"": 7}","""atk"":240,""hp"":11200,""hppro"":20","""hp"":6400,""hppro"":20"
60,4,"{""a"": ""wenwu"", ""t"": ""60"", ""n"": 9}","""atk"":640,""hp"":11200,""hppro"":20","""atk"":400"
60,5,,"""atk"":640,""hp"":20800,""atkpro"":20,""hppro"":20","""hp"":9600,""atkpro"":20"
61,0,"{""a"": ""wenwu"", ""t"": ""61"", ""n"": 1}",,
61,1,"{""a"": ""wenwu"", ""t"": ""61"", ""n"": 3}","""hp"":600","""hp"":600"
61,2,"{""a"": ""wenwu"", ""t"": ""61"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
61,3,"{""a"": ""wenwu"", ""t"": ""61"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
61,4,"{""a"": ""wenwu"", ""t"": ""61"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
61,5,,"""atk"":80,""hp"":2600","""hp"":1200"
62,0,"{""a"": ""wenwu"", ""t"": ""62"", ""n"": 1}",,
62,1,"{""a"": ""wenwu"", ""t"": ""62"", ""n"": 3}","""hp"":600","""hp"":600"
62,2,"{""a"": ""wenwu"", ""t"": ""62"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
62,3,"{""a"": ""wenwu"", ""t"": ""62"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
62,4,"{""a"": ""wenwu"", ""t"": ""62"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
62,5,,"""atk"":80,""hp"":2600","""hp"":1200"
63,0,"{""a"": ""wenwu"", ""t"": ""63"", ""n"": 1}",,
63,1,"{""a"": ""wenwu"", ""t"": ""63"", ""n"": 3}","""hp"":600","""hp"":600"
63,2,"{""a"": ""wenwu"", ""t"": ""63"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
63,3,"{""a"": ""wenwu"", ""t"": ""63"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
63,4,"{""a"": ""wenwu"", ""t"": ""63"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
63,5,,"""atk"":80,""hp"":2600","""hp"":1200"
64,0,"{""a"": ""wenwu"", ""t"": ""64"", ""n"": 1}",,
64,1,"{""a"": ""wenwu"", ""t"": ""64"", ""n"": 3}","""hp"":600","""hp"":600"
64,2,"{""a"": ""wenwu"", ""t"": ""64"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
64,3,"{""a"": ""wenwu"", ""t"": ""64"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
64,4,"{""a"": ""wenwu"", ""t"": ""64"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
64,5,,"""atk"":80,""hp"":2600","""hp"":1200"
65,0,"{""a"": ""wenwu"", ""t"": ""65"", ""n"": 1}",,
65,1,"{""a"": ""wenwu"", ""t"": ""65"", ""n"": 3}","""hp"":1200","""hp"":1200"
65,2,"{""a"": ""wenwu"", ""t"": ""65"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
65,3,"{""a"": ""wenwu"", ""t"": ""65"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
65,4,"{""a"": ""wenwu"", ""t"": ""65"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
65,5,,"""atk"":160,""hp"":5200","""hp"":2400"
66,0,"{""a"": ""wenwu"", ""t"": ""66"", ""n"": 1}",,
66,1,"{""a"": ""wenwu"", ""t"": ""66"", ""n"": 3}","""hp"":1200","""hp"":1200"
66,2,"{""a"": ""wenwu"", ""t"": ""66"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
66,3,"{""a"": ""wenwu"", ""t"": ""66"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
66,4,"{""a"": ""wenwu"", ""t"": ""66"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
66,5,,"""atk"":160,""hp"":5200","""hp"":2400"
67,0,"{""a"": ""wenwu"", ""t"": ""67"", ""n"": 1}",,
67,1,"{""a"": ""wenwu"", ""t"": ""67"", ""n"": 3}","""hp"":1800","""hp"":1800"
67,2,"{""a"": ""wenwu"", ""t"": ""67"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
67,3,"{""a"": ""wenwu"", ""t"": ""67"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
67,4,"{""a"": ""wenwu"", ""t"": ""67"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
67,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
68,0,"{""a"": ""wenwu"", ""t"": ""68"", ""n"": 1}",,
68,1,"{""a"": ""wenwu"", ""t"": ""68"", ""n"": 3}","""hp"":1800","""hp"":1800"
68,2,"{""a"": ""wenwu"", ""t"": ""68"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
68,3,"{""a"": ""wenwu"", ""t"": ""68"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
68,4,"{""a"": ""wenwu"", ""t"": ""68"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
68,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
69,0,"{""a"": ""wenwu"", ""t"": ""69"", ""n"": 1}",,
69,1,"{""a"": ""wenwu"", ""t"": ""69"", ""n"": 3}","""hp"":3000","""hp"":3000"
69,2,"{""a"": ""wenwu"", ""t"": ""69"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
69,3,"{""a"": ""wenwu"", ""t"": ""69"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
69,4,"{""a"": ""wenwu"", ""t"": ""69"", ""n"": 9}","""atk"":400,""hp"":7000,""hppro"":15","""atk"":250"
69,5,,"""atk"":400,""hp"":13000,""atkpro"":15,""hppro"":15","""hp"":6000,""atkpro"":15"
70,0,"{""a"": ""wenwu"", ""t"": ""70"", ""n"": 1}",,
70,1,"{""a"": ""wenwu"", ""t"": ""70"", ""n"": 3}","""hp"":4800","""hp"":4800"
70,2,"{""a"": ""wenwu"", ""t"": ""70"", ""n"": 5}","""atk"":240,""hp"":4800","""atk"":240"
70,3,"{""a"": ""wenwu"", ""t"": ""70"", ""n"": 7}","""atk"":240,""hp"":11200,""hppro"":20","""hp"":6400,""hppro"":20"
70,4,"{""a"": ""wenwu"", ""t"": ""70"", ""n"": 9}","""atk"":640,""hp"":11200,""hppro"":20","""atk"":400"
70,5,,"""atk"":640,""hp"":20800,""atkpro"":20,""hppro"":20","""hp"":9600,""atkpro"":20"
71,0,"{""a"": ""wenwu"", ""t"": ""71"", ""n"": 1}",,
71,1,"{""a"": ""wenwu"", ""t"": ""71"", ""n"": 3}","""hp"":600","""hp"":600"
71,2,"{""a"": ""wenwu"", ""t"": ""71"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
71,3,"{""a"": ""wenwu"", ""t"": ""71"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
71,4,"{""a"": ""wenwu"", ""t"": ""71"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
71,5,,"""atk"":80,""hp"":2600","""hp"":1200"
72,0,"{""a"": ""wenwu"", ""t"": ""72"", ""n"": 1}",,
72,1,"{""a"": ""wenwu"", ""t"": ""72"", ""n"": 3}","""hp"":600","""hp"":600"
72,2,"{""a"": ""wenwu"", ""t"": ""72"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
72,3,"{""a"": ""wenwu"", ""t"": ""72"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
72,4,"{""a"": ""wenwu"", ""t"": ""72"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
72,5,,"""atk"":80,""hp"":2600","""hp"":1200"
73,0,"{""a"": ""wenwu"", ""t"": ""73"", ""n"": 1}",,
73,1,"{""a"": ""wenwu"", ""t"": ""73"", ""n"": 3}","""hp"":600","""hp"":600"
73,2,"{""a"": ""wenwu"", ""t"": ""73"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
73,3,"{""a"": ""wenwu"", ""t"": ""73"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
73,4,"{""a"": ""wenwu"", ""t"": ""73"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
73,5,,"""atk"":80,""hp"":2600","""hp"":1200"
74,0,"{""a"": ""wenwu"", ""t"": ""74"", ""n"": 1}",,
74,1,"{""a"": ""wenwu"", ""t"": ""74"", ""n"": 3}","""hp"":600","""hp"":600"
74,2,"{""a"": ""wenwu"", ""t"": ""74"", ""n"": 5}","""atk"":30,""hp"":600","""atk"":30"
74,3,"{""a"": ""wenwu"", ""t"": ""74"", ""n"": 7}","""atk"":30,""hp"":1400","""hp"":800"
74,4,"{""a"": ""wenwu"", ""t"": ""74"", ""n"": 9}","""atk"":80,""hp"":1400","""atk"":50"
74,5,,"""atk"":80,""hp"":2600","""hp"":1200"
75,0,"{""a"": ""wenwu"", ""t"": ""75"", ""n"": 1}",,
75,1,"{""a"": ""wenwu"", ""t"": ""75"", ""n"": 3}","""hp"":1200","""hp"":1200"
75,2,"{""a"": ""wenwu"", ""t"": ""75"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
75,3,"{""a"": ""wenwu"", ""t"": ""75"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
75,4,"{""a"": ""wenwu"", ""t"": ""75"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
75,5,,"""atk"":160,""hp"":5200","""hp"":2400"
76,0,"{""a"": ""wenwu"", ""t"": ""76"", ""n"": 1}",,
76,1,"{""a"": ""wenwu"", ""t"": ""76"", ""n"": 3}","""hp"":1200","""hp"":1200"
76,2,"{""a"": ""wenwu"", ""t"": ""76"", ""n"": 5}","""atk"":60,""hp"":1200","""atk"":60"
76,3,"{""a"": ""wenwu"", ""t"": ""76"", ""n"": 7}","""atk"":60,""hp"":2800","""hp"":1600"
76,4,"{""a"": ""wenwu"", ""t"": ""76"", ""n"": 9}","""atk"":160,""hp"":2800","""atk"":100"
76,5,,"""atk"":160,""hp"":5200","""hp"":2400"
77,0,"{""a"": ""wenwu"", ""t"": ""77"", ""n"": 1}",,
77,1,"{""a"": ""wenwu"", ""t"": ""77"", ""n"": 3}","""hp"":1800","""hp"":1800"
77,2,"{""a"": ""wenwu"", ""t"": ""77"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
77,3,"{""a"": ""wenwu"", ""t"": ""77"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
77,4,"{""a"": ""wenwu"", ""t"": ""77"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
77,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
78,0,"{""a"": ""wenwu"", ""t"": ""78"", ""n"": 1}",,
78,1,"{""a"": ""wenwu"", ""t"": ""78"", ""n"": 3}","""hp"":1800","""hp"":1800"
78,2,"{""a"": ""wenwu"", ""t"": ""78"", ""n"": 5}","""atk"":90,""hp"":1800","""atk"":90"
78,3,"{""a"": ""wenwu"", ""t"": ""78"", ""n"": 7}","""atk"":90,""hp"":4200,""hppro"":10","""hp"":2400,""hppro"":10"
78,4,"{""a"": ""wenwu"", ""t"": ""78"", ""n"": 9}","""atk"":240,""hp"":4200,""hppro"":10","""atk"":150"
78,5,,"""atk"":240,""hp"":7800,""atkpro"":10,""hppro"":10","""hp"":3600,""atkpro"":10"
79,0,"{""a"": ""wenwu"", ""t"": ""79"", ""n"": 1}",,
79,1,"{""a"": ""wenwu"", ""t"": ""79"", ""n"": 3}","""hp"":3000","""hp"":3000"
79,2,"{""a"": ""wenwu"", ""t"": ""79"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
79,3,"{""a"": ""wenwu"", ""t"": ""79"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
79,4,"{""a"": ""wenwu"", ""t"": ""79"", ""n"": 9}","""atk"":400,""hp"":7000,""hppro"":15","""atk"":250"
79,5,,"""atk"":400,""hp"":13000,""atkpro"":15,""hppro"":15","""hp"":6000,""atkpro"":15"
80,0,"{""a"": ""wenwu"", ""t"": ""80"", ""n"": 1}",,
80,1,"{""a"": ""wenwu"", ""t"": ""80"", ""n"": 3}","""hp"":4800","""hp"":4800"
80,2,"{""a"": ""wenwu"", ""t"": ""80"", ""n"": 5}","""atk"":240,""hp"":4800","""atk"":240"
80,3,"{""a"": ""wenwu"", ""t"": ""80"", ""n"": 7}","""atk"":240,""hp"":11200,""hppro"":20","""hp"":6400,""hppro"":20"
80,4,"{""a"": ""wenwu"", ""t"": ""80"", ""n"": 9}","""atk"":640,""hp"":11200,""hppro"":20","""atk"":400"
80,5,,"""atk"":640,""hp"":20800,""atkpro"":20,""hppro"":20","""hp"":9600,""atkpro"":20"
81,0,"{""a"": ""wenwu"", ""t"": ""81"", ""n"": 1}",,
81,1,"{""a"": ""wenwu"", ""t"": ""81"", ""n"": 3}","""hp"":3000","""hp"":3000"
81,2,"{""a"": ""wenwu"", ""t"": ""81"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
81,3,"{""a"": ""wenwu"", ""t"": ""81"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
81,4,"{""a"": ""wenwu"", ""t"": ""81"", ""n"": 9}","""atk"":400,""hp"":7000,""hppro"":15","""atk"":250"
81,5,,"""atk"":400,""hp"":13000,""atkpro"":15,""hppro"":15","""hp"":6000,""atkpro"":15"
82,0,"{""a"": ""wenwu"", ""t"": ""82"", ""n"": 1}",,
82,1,"{""a"": ""wenwu"", ""t"": ""82"", ""n"": 3}","""hp"":3000","""hp"":3000"
82,2,"{""a"": ""wenwu"", ""t"": ""82"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
82,3,"{""a"": ""wenwu"", ""t"": ""82"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
82,4,"{""a"": ""wenwu"", ""t"": ""82"", ""n"": 9}","""atk"":400,""hp"":7000,""hppro"":15","""atk"":250"
82,5,,"""atk"":400,""hp"":13000,""atkpro"":15,""hppro"":15","""hp"":6000,""atkpro"":15"
83,0,"{""a"": ""wenwu"", ""t"": ""83"", ""n"": 1}",,
83,1,"{""a"": ""wenwu"", ""t"": ""83"", ""n"": 3}","""hp"":3000","""hp"":3000"
83,2,"{""a"": ""wenwu"", ""t"": ""83"", ""n"": 5}","""atk"":150,""hp"":3000","""atk"":150"
83,3,"{""a"": ""wenwu"", ""t"": ""83"", ""n"": 7}","""atk"":150,""hp"":7000,""hppro"":15","""hp"":4000,""hppro"":15"
83,4,"{""a"": ""wenwu"", ""t"": ""83"", ""n"": 9}","""atk"":400,""hp"":7000,""hppro"":15","""atk"":250"
83,5,,"""atk"":400,""hp"":13000,""atkpro"":15,""hppro"":15","""hp"":6000,""atkpro"":15"
84,0,"{""a"": ""wenwu"", ""t"": ""84"", ""n"": 1}",,
84,1,"{""a"": ""wenwu"", ""t"": ""84"", ""n"": 3}","""hp"":4800","""hp"":4800"
84,2,"{""a"": ""wenwu"", ""t"": ""84"", ""n"": 5}","""atk"":240,""hp"":4800","""atk"":240"
84,3,"{""a"": ""wenwu"", ""t"": ""84"", ""n"": 7}","""atk"":240,""hp"":11200,""hppro"":20","""hp"":6400,""hppro"":20"
84,4,"{""a"": ""wenwu"", ""t"": ""84"", ""n"": 9}","""atk"":640,""hp"":11200,""hppro"":20","""atk"":400"
84,5,,"""atk"":640,""hp"":20800,""atkpro"":20,""hppro"":20","""hp"":9600,""atkpro"":20"
85,0,"{""a"": ""wenwu"", ""t"": ""85"", ""n"": 1}",,
85,1,"{""a"": ""wenwu"", ""t"": ""85"", ""n"": 3}","""hp"":4800","""hp"":4800"
85,2,"{""a"": ""wenwu"", ""t"": ""85"", ""n"": 5}","""atk"":240,""hp"":4800","""atk"":240"
85,3,"{""a"": ""wenwu"", ""t"": ""85"", ""n"": 7}","""atk"":240,""hp"":11200,""hppro"":20","""hp"":6400,""hppro"":20"
85,4,"{""a"": ""wenwu"", ""t"": ""85"", ""n"": 9}","""atk"":640,""hp"":11200,""hppro"":20","""atk"":400"
85,5,,"""atk"":640,""hp"":20800,""atkpro"":20,""hppro"":20","""hp"":9600,""atkpro"":20"
